route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_boarding
3,1,4838469,Grand Central Terminal - Bridgeport,1456,0,,16,1
3,1,4838468,Fairfield Metro - Grand Central Terminal,1433,1,,5,1
3,1,4838467,Bridgeport - Grand Central Terminal,1427,1,,5,1
3,1,4838463,Stamford - Grand Central Terminal,1321,1,,5,1
3,1,4838462,Grand Central Terminal - Stamford,1320,0,,16,1
3,1,4838460,Grand Central Terminal - Stamford,1314,0,,16,1
3,1,4838456,Grand Central Terminal - Stamford,1306,0,,16,1
3,1,4838453,Harrison - Grand Central Terminal,1239,1,,5,1
3,1,4838452,Harrison - Grand Central Terminal,1235,1,,5,1
3,1,4838451,Stamford - Grand Central Terminal,1371,1,,5,1
3,1,4838450,Stamford - Grand Central Terminal,1361,1,,5,1
4,1,4838439,New Canaan - Grand Central Terminal,1723,1,,8,1
4,1,4838438,New Canaan - Stamford,1797,1,,8,1
4,1,4838435,Stamford - New Canaan,1712,0,,19,1
4,1,4838434,New Canaan - Grand Central Terminal,1711,1,,8,1
4,1,4838431,Stamford - New Canaan,1782,0,,19,1
4,1,4838430,New Canaan - Stamford,1771,1,,8,1
4,1,4838429,Grand Central Terminal - New Canaan,1770,0,,19,1
4,1,4838421,New Canaan - Stamford,1755,1,,8,1
4,1,4838420,New Canaan - Stamford,1745,1,,8,1
4,1,4838349,Stamford - New Canaan,1738,0,,19,1
3,1,4838343,Grand Central Terminal - Stamford,1336,0,,16,1
3,1,4838342,Grand Central Terminal - Bridgeport,1470,0,,16,1
3,1,4838341,Fairfield Metro - Grand Central Terminal,1419,1,,5,1
3,1,4838340,Bridgeport - Grand Central Terminal,1417,1,,5,1
3,1,4838333,Grand Central Terminal - Stamford,1412,0,,16,1
3,1,4838331,Stamford - Grand Central Terminal,1399,1,,5,1
